YEAR	STATE_NAME	STRUCTURE_NUMBER	OWNER_AGENCY	ELEMENT_CATEGORY	PARENT_ELEMENT_NUMBER	PARENT_ELEMENT_NAME	ELEMENT_NUMBER	ELEMENT_NAME	ELEMENT_UNIT	TOTAL_QUANTITY	CONDITION_STATE_1	CS_PERCENT_1	CONDITION_STATE_2	CS_PERCENT_2	CONDITION_STATE_3	CS_PERCENT_3	CONDITION_STATE_4	CS_PERCENT_4	HI
2025	'41 - Oregon'	09632A006 26184	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1660	1571	94	89	5	0	0	0	0	98.23
2025	'41 - Oregon'	09635 006 26492	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2934	2913	99	21	0	0	0	0	0	99.76
2025	'41 - Oregon'	09635A006 26492	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	3600	3576	99	21	0	3	0	0	0	99.75
2025	'41 - Oregon'	09640 006 17113	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1060	1004	94	56	5	0	0	0	0	98.26
2025	'41 - Oregon'	09693 004 27593	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1078	1068	99	0	0	10	0	0	0	99.38
2025	'41 - Oregon'	09694 004 27713	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2691	2381	88	250	9	60	2	0	0	95.44
2025	'41 - Oregon'	09722 047C06111	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	3465	3465	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	09743 001 28851	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1491	1491	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	09743A001 28851	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1582	1266	80	316	19	0	0	0	0	93.41
2025	'41 - Oregon'	09743C001C28848	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1410	605	42	805	57	0	0	0	0	81.16
2025	'41 - Oregon'	09755 006C28364	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1112	1095	98	16	1	1	0	0	0	99.46
2025	'41 - Oregon'	09804 012 00267	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1400	1348	96	52	3	0	0	0	0	98.77
2025	'41 - Oregon'	09806 031 01045	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	4805	3120	64	1685	35	0	0	0	0	88.43
2025	'41 - Oregon'	0M203 062Y01519	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	248	0	0	248	100	0	0	0	0	67
2025	'41 - Oregon'	16358 001C30298	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	223	168	75	55	24	0	0	0	0	91.86
2025	'41 - Oregon'	16535 001C30309	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	410	410	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	17363 272 00614	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2231	2231	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	18074 350 02934	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	440	439	99	0	0	1	0	0	0	99.85
2025	'41 - Oregon'	18787 019 10927	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1100	1099	99	1	0	0	0	0	0	99.97
2025	'41 - Oregon'	19142 001 10154	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2427	2427	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	19143 001 10154	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2427	2427	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	19265 026 04258	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	593	593	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	19267 025 02940	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2182	2182	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	19281 026 04381	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2250	0	0	1649	73	601	26	0	0	57.92
2025	'41 - Oregon'	19712 006 31746	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2430	2430	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	19713 006 31744	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2520	2520	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	19789 021 04386	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2231	2231	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	19865 006 25617	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1670	1670	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	19866 006 25618	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2150	2150	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	19940 004 27473	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2500	2500	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20061 001 19578	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1582	1582	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20062 001 19578	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1075	1075	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20080 006 18843	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1920	1920	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20120 018 00808	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2344	2344	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20255 341 04701	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	588	588	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20338 026 05351	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	848	848	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20584 045 03964	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	962	962	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20651 001 00000	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2500	2500	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20674 001 01496	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	800	800	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20675 001 01496	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	800	800	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20855 002 03898	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2300	2300	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20861 231 02210	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1200	1200	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	20873 028 06381	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	840	840	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	21163 231 02115	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	516	516	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	21281 160 02420	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1164	1164	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	21357 02W 09469	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	486	486	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	21358 001 01917	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1817	1817	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	21417 160 00001	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1170	1170	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	21494 047C05723	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2600	2600	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	21716 333 01186	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1550	1550	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	21869 075 00052	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2450	2450	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	21871 068 01024	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1620	1620	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	22627 045 01643	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	5515	5515	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	22688 483 04675	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	3880	3880	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	23871 153 00588	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2460	2460	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	23877 010 04583	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	1944	1944	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	24025 047 04563	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	645	645	100	0	0	0	0	0	0	100
2025	'41 - Oregon'	H8588A002 00002	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2412	1002	41	1409	58	1	0	0	0	80.69
2025	'41 - Oregon'	N8588E001 30170	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	11310	6726	59	4575	40	9	0	0	0	86.6
2025	'41 - Oregon'	N8837B064 01072	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	4572	3658	80	914	19	0	0	0	0	93.4
2025	'41 - Oregon'	N8958A001 30299	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	3539	1997	56	1542	43	0	0	0	0	85.62
2025	'41 - Oregon'	R8588E001 30150	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	2848	2562	89	286	10	0	0	0	0	96.69
2025	'41 - Oregon'	S8588E001 30170	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	11510	8693	75	2808	24	9	0	0	0	91.9
2025	'41 - Oregon'	S8837A064 01072	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	4064	0	0	4034	99	30	0	0	0	66.75
2025	'41 - Oregon'	S8958A001 30299	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	3933	2713	68	1219	30	1	0	0	0	89.75
2025	'41 - Oregon'	T02728 21000013	'State Highway Agency'	'Superstructure'		''	107	'Steel Girder/Beam'	'LF'	8580	0	0	8580	100	0	0	0	0	67
												63.01509434		33.00754717		3.120754717		0	
												37.32615967		35.17057918		8.790950893		0	
