initial_beta,lcc_values
3.0009376913010177,2833.82373046875
2.561464095658892,3563.492431640625
3.463937601602763,1952.5081787109375
3.500896415177314,1900.9849853515625
4.196651513868484,865.363525390625
3.739889506977538,1389.044921875
3.002935679982241,5295.21337890625
3.1994387356785343,3143.59130859375
3.583582170369515,1688.2216796875
3.4999928823611564,1903.9080810546875
3.2562370600817188,3859.696044921875
3.6596298108727794,1571.697998046875
3.0023174630690197,2827.946044921875
3.500000513199254,1903.8497314453125
3.394623395949259,1969.811279296875
4.199999971624968,864.2435302734375
4.1497242343347995,886.23486328125
3.5017917762562165,1898.0794677734375
4.150689473253233,885.767822265625
3.884799065639761,1116.7021484375
3.959438718677294,1025.7237548828125
3.5100359238163996,1848.244140625
3.0077541441096085,2796.77685546875
3.4999873011075207,1903.9127197265625
4.084631286633954,912.1500854492188
3.1399384837940545,4066.758544921875
4.01987864576758,965.6478271484375
3.261129022413071,3799.220947265625
3.4930208543048584,1815.592041015625
4.128861719747342,890.779052734375
3.059755160431007,2781.029296875
3.5006138535259086,1901.9033203125
3.0073773648198356,2806.26611328125
3.1484518678432982,3974.501220703125
2.9760696987765947,2887.121826171875
4.195024461371775,866.2197265625
4.018378772441362,970.6258544921875
4.199099954822977,864.5979614257812
3.5017889799054402,1898.0899658203125
4.1796295644283346,872.389404296875
4.093851564010559,890.6365966796875
3.4999406169549303,1903.988037109375
3.260300135498108,3840.1435546875
4.17257942757923,875.664306640625
4.19229129948007,866.6452026367188
2.504415105878401,3603.184326171875
3.4999946490696647,1903.9093017578125
4.199999351741528,864.2437744140625
2.978193354303949,5970.888671875
3.775926118207496,1121.8436279296875
4.1999230329119035,864.2733154296875
3.521625708877328,1835.9171142578125
2.934903100046479,2940.287353515625
3.000475387839887,2835.291259765625
3.540980258767303,1858.8575439453125
3.9214049729452234,1068.6761474609375
2.767416052747026,3881.486572265625
4.196804540482459,865.4911499023438
4.1549693913013295,880.1177978515625
3.183200457274451,2431.525390625
4.199325121177442,864.5092163085938
2.605755530347624,3292.6142578125
3.4926630319726377,1913.4947509765625
3.545123008881622,1842.004150390625
2.5129110279573768,3555.49267578125
3.025200836074125,2732.646240234375
3.2821398923905205,2548.576171875
3.846023512254601,1175.4976806640625
4.199802117263658,864.3070068359375
4.069529719385145,932.305419921875
3.1712472620016365,3789.95556640625
3.8509283572043094,1167.5677490234375
2.5064962807210023,3591.8984375
3.5698882346674154,1772.845947265625
2.501953889872677,3609.7080078125
3.3340329958299253,2541.555419921875
3.521358980426265,1836.8448486328125
3.507013983605796,1881.3175048828125
2.9854155393327253,5559.4833984375
3.5511343812754266,1464.581298828125
3.6112001760152674,1718.267333984375
3.171636336530354,2427.613037109375
4.1995700043542445,864.3827514648438
3.496221782679416,1900.106201171875
3.8659434753475237,1144.1954345703125
3.0012000817667532,2831.41015625
4.199988008072497,864.2479248046875
4.097431142778688,914.5285034179688
3.5193003238844827,1843.056396484375
2.8763400816408975,3792.468994140625
3.7819883525111693,1283.223876953125
3.0000003595055165,2837.826904296875
2.5214788330198976,3550.06591796875
2.868217663819621,3217.64453125
3.6068145722360527,1732.7379150390625
3.0002256408259247,2836.62060546875
4.147893846012171,887.1256713867188
3.504445013426123,1889.529296875
3.631892070246344,1652.3690185546875
3.7096025712765854,1167.0111083984375
2.501351454557252,3610.396484375
3.5000282910719736,1903.7496337890625
3.0006930820695072,2834.642822265625
3.427827349668928,2445.0947265625
4.190432594634396,868.0777587890625
2.5000103616526896,3616.64208984375
3.499999943481854,1903.9013671875
2.5588128597800015,3581.61083984375
2.75058208469522,4822.1767578125
3.6359790371232803,1640.3140869140625
3.908324489139619,1044.47314453125
3.475093112862671,1937.3265380859375
3.500026600401822,1903.8084716796875
3.08031173369088,2814.248291015625
3.7003857176030848,1492.361083984375
